Model,Train Accuracy,Test Accuracy,CV Mean
Decision Tree,1.0,0.7849462365591398,0.7504424778761062
Random Forest,1.0,0.8136200716845878,0.8407079646017699
KNN,0.8584070796460177,0.7491039426523297,0.784070796460177
XGBoost,0.9646017699115044,0.8100358422939068,0.8212389380530972
